PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40636879,COVID-19 vaccine acceptance and associated factors among parents of children between 6 and 12 years: a multicenter mixed method study in India.,2025,,"National AIDS Research Institute, Pune, India., Regional Medical Research Centre (ICMR), Dibrugarh, India., Rajendra Memorial Research Institute of Medical Sciences, Patna, India., Indian Council of Medical Research (ICMR), New Delhi, India., National AIDS Research Institute (ICMR), Pune, India., Indian Council of Medical Research (ICMR), New Delhi, India., Rajendra Memorial Research Institute of Medical Sciences, Patna, India., National AIDS Research Institute (ICMR), Pune, India., National AIDS Research Institute (ICMR), Pune, India., National AIDS Research Institute (ICMR), Pune, India., Indian Council of Medical Research (ICMR), New Delhi, India.",
40636536,COVID-19 and Influenza Vaccine Uptake Among Nurses and Children Living in Their Households: A Cross-Sectional Study.,2025,,"Department of Political Science Iowa State University Ames Iowa USA., School of American and Global Studies South Dakota State University Brookings South Dakota USA., College of Nursing South Dakota State University Brookings South Dakota USA.",
40636320,Self-Reported Behavior Change After a Positive COVID-19 Test Result.,2025,,"The Center for Transforming Health, The MITRE Corporation, McLean, Virginia., Public Health, Environmental and Life Sciences, The MITRE Corporation, McLean, Virginia., Computational Epidemiology Lab, Boston Children's Hospital, Boston, Massachusetts., Computational Epidemiology Lab, Boston Children's Hospital, Boston, Massachusetts., Computational Epidemiology Lab, Boston Children's Hospital, Boston, Massachusetts.",
40636157,Optimization of growth conditions and the inducer concentration for increasing spike protein expression in recombinant ,2025,"Mubarak Termidzi Husni, Maulita Silvia, Adianingsih Oktavia Rahayu, Tebbens Jurjen Duintjer, Shimosato Takeshi, Yurina Valentina","Department of Pharmacy, Medical Faculty, Universitas Brawijaya, Jalan Veteran, Malang, 65145, East Java, Indonesia., Department of Pharmacy, Medical Faculty, Universitas Brawijaya, Jalan Veteran, Malang, 65145, East Java, Indonesia., Department of Pharmacy, Medical Faculty, Universitas Brawijaya, Jalan Veteran, Malang, 65145, East Java, Indonesia., Department of Biophysics and Physical Chemistry, Faculty of Pharmacy in Hradec Kralove, Charles University, Akademika Heyrovského 1203/8, 500 03 Hradec Králové, Czech Republic., Department of Pharmacy, Medical Faculty, Universitas Brawijaya, Jalan Veteran, Malang, 65145, East Java, Indonesia., Department of Pharmacy, Medical Faculty, Universitas Brawijaya, Jalan Veteran, Malang, 65145, East Java, Indonesia.",
40636108,Progress in combination vaccines and the co-administration of influenza virus and SARS-CoV-2 vaccines.,2025,"Hu Chengyu, Niu Chenguang, Li Xiaohui, He Ke, Li Mengyu, Gao Xiaonan, Wei Qiannan, Ren Zhiguang, Li Xiaodong","Henan Province Engineering Technology Research Center of Intelligent Diagnosis and Treatment, The First Affiliated Hospital, School of Basic Medicine Sciences, Henan University, Kaifeng, China., Henan Province Engineering Technology Research Center of Intelligent Diagnosis and Treatment, The First Affiliated Hospital, School of Basic Medicine Sciences, Henan University, Kaifeng, China., Henan Province Engineering Technology Research Center of Intelligent Diagnosis and Treatment, The First Affiliated Hospital, School of Basic Medicine Sciences, Henan University, Kaifeng, China., Institute of Traditional Chinese Medicine, School of Pharmacy, Henan University, Kaifeng, China., Institute of Traditional Chinese Medicine, School of Pharmacy, Henan University, Kaifeng, China., Institute of Traditional Chinese Medicine, School of Pharmacy, Henan University, Kaifeng, China., Henan Province Engineering Technology Research Center of Intelligent Diagnosis and Treatment, The First Affiliated Hospital, School of Basic Medicine Sciences, Henan University, Kaifeng, China., Changchun Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Changchun, China., Changchun Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Changchun, China., Changchun Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Changchun, China., Changchun Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Changchun, China., Henan Province Engineering Technology Research Center of Intelligent Diagnosis and Treatment, The First Affiliated Hospital, School of Basic Medicine Sciences, Henan University, Kaifeng, China., Henan Province Engineering Technology Research Center of Intelligent Diagnosis and Treatment, The First Affiliated Hospital, School of Basic Medicine Sciences, Henan University, Kaifeng, China., Changchun Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Changchun, China.",
40635622,COVID-19 Vaccination and Infection in Myasthenia Gravis: A Longitudinal Patient Survey.,2025,,"Neuromuscular Division, Department of Neurology, Duke University Medical Center, Durham, North Carolina, USA., Department of Neurology, Stanford Medical Center, Stanford, California, USA., Department of Biostatistics and Bioinformatics, Duke University School of Medicine, Durham, North Carolina, USA., Department of Biostatistics and Bioinformatics, Duke University School of Medicine, Durham, North Carolina, USA., Myasthenia Gravis Foundation of America, Westborough, Massachusetts, USA., Myasthenia Gravis Foundation of America, Westborough, Massachusetts, USA., Neuromuscular Division, Department of Neurology, Duke University Medical Center, Durham, North Carolina, USA., Neuromuscular Division, Department of Neurology, Duke University Medical Center, Durham, North Carolina, USA., Neuromuscular Division, Department of Neurology, Duke University Medical Center, Durham, North Carolina, USA.",
40635461,Identifying adverse reactions following COVID-19 vaccination from data collected through active surveillance: a text mining approach.,2025,,"Ewha Womans University Mokdong Hospital, Seoul , Korea., Department of Preventive Medicine, College of Medicine, Chung-Ang University, Seoul, Korea., Department of Preventive Medicine, College of Medicine, Chung-Ang University, Seoul, Korea., Department of Preventive Medicine, College of Medicine, Chung-Ang University, Seoul, Korea., Department of Preventive Medicine, College of Medicine, Ewha Womans University, Seoul, Korea., Department of Preventive Medicine, College of Medicine, Ewha Womans University, Seoul, Korea., Department of Preventive Medicine, College of Medicine, Ewha Womans University, Seoul, Korea., Division of Immunization Services, Korea Disease Control and Prevention Agency, Cheongju, Korea., Division of Immunization Policy, Korea Disease Control and Prevention Agency, Cheongju, Korea., Division of Immunization Policy, Korea Disease Control and Prevention Agency, Cheongju, Korea., 이화의대 , Seoul, Korea.",
40635444,Rocky Mountain West COVID-19 Modeling: A Descriptive Assessment of Public Health Needs During the COVID-19 Pandemic to Endemic Transition in Summer 2022.,2025,,"Department of Epidemiology, Colorado School of Public Health, University of Colorado Anschutz Medical Campus, Aurora, CO, USA., Department of Epidemiology, Colorado School of Public Health, University of Colorado Anschutz Medical Campus, Aurora, CO, USA., Department of Epidemiology, Colorado School of Public Health, University of Colorado Anschutz Medical Campus, Aurora, CO, USA., Department of Environmental and Occupational Health, Colorado School of Public Health, University of Colorado Anschutz Medical Campus, Aurora, CO, USA., Department of Environmental and Occupational Health, Colorado School of Public Health, University of Colorado Anschutz Medical Campus, Aurora, CO, USA.",
40635091,Comparison of T cell response to vaccination in rheumatic patients treated with Janus kinase inhibitors and TNF inhibitors.,2025,,"Department of Internal Medicine II, Rheumatology/Clinical Immunology, University Hospital Würzburg, Oberdürrbacher Straße 6, 97080, Würzburg, Germany. Hueper@rheuma-hi.de., Department of Internal Medicine II, Haematology and Oncology, University Hospital Würzburg, Oberdürrbacher Straße 6, 97080, Würzburg, Germany., Department of Internal Medicine II, Haematology and Oncology, University Hospital Würzburg, Oberdürrbacher Straße 6, 97080, Würzburg, Germany., Department of Internal Medicine II, Rheumatology/Clinical Immunology, University Hospital Würzburg, Oberdürrbacher Straße 6, 97080, Würzburg, Germany., Department of Internal Medicine II, Rheumatology/Clinical Immunology, University Hospital Würzburg, Oberdürrbacher Straße 6, 97080, Würzburg, Germany., Department of Internal Medicine II, Rheumatology/Clinical Immunology, University Hospital Würzburg, Oberdürrbacher Straße 6, 97080, Würzburg, Germany., Department of Internal Medicine II, Rheumatology/Clinical Immunology, University Hospital Würzburg, Oberdürrbacher Straße 6, 97080, Würzburg, Germany., Department of Internal Medicine II, Rheumatology/Clinical Immunology, University Hospital Würzburg, Oberdürrbacher Straße 6, 97080, Würzburg, Germany., Department of Internal Medicine II, Rheumatology/Clinical Immunology, University Hospital Würzburg, Oberdürrbacher Straße 6, 97080, Würzburg, Germany.",
40634987,"Exploring co-infection dynamics and immune response interactions between COVID-19 and Monkeypox: implications for disease severity, viral transmission, and vaccine efficacy.",2025,,"College of Public Health, Georgia Southern University, Georgia, USA., College of Public Health, Georgia Southern University, Georgia, USA., Department of Medicine, Beth Israel Lahey Hospital- Beverly Hospital Campus, Boston, MA, USA., Department of Medicine, Jinnah Sindh Medical University, Karachi, Pakistan., Department of Medicine, Jinnah Sindh Medical University, Karachi, Pakistan., Department of Medicine, Jinnah Sindh Medical University, Karachi, Pakistan., Department of Medicine, Jinnah Sindh Medical University, Karachi, Pakistan., Department of Research, The Medical Research Circle (MedReC), Democratic Republic of Congo (DRC), Goma, Congo. malikolatunde36@gmail.com., Geisinger Health System, Wilkes-barre, PA, USA.",
